MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.5501;0.0398;0.1039;4;0.0000;0.5500;26.9291;relu
0.6353;0.0393;0.1739;4;0.0000;0.7500;27.5733;sigmoid
0.6655;0.0394;0.1201;4;0.0000;0.7500;27.3668;relu
0.7389;0.0390;0.1817;4;0.0000;0.9500;28.0319;sigmoid
0.7530;0.0390;0.2171;4;0.0000;0.9500;27.6842;relu
0.7384;0.0389;0.2078;4;0.0000;0.9950;27.8023;sigmoid
0.7521;0.0389;0.2515;4;0.0000;0.9950;27.8674;relu
0.5551;0.0396;0.1137;4;0.0000;0.5000;8.6616;sigmoid
0.5391;0.0398;0.0927;4;0.0000;0.5000;8.4563;relu
0.5612;0.0396;0.1125;4;0.0000;0.5500;27.1022;sigmoid
0.5606;0.0397;0.0809;4;0.0000;0.5500;26.5653;relu
0.6305;0.0393;0.1608;4;0.0000;0.7500;28.1941;sigmoid
0.6607;0.0396;0.1146;4;0.0000;0.7500;27.0141;relu
0.7417;0.0389;0.2333;4;0.0000;0.9500;28.1758;sigmoid
0.7520;0.0391;0.2128;4;0.0000;0.9500;28.1160;relu
0.7425;0.0388;0.2625;4;0.0000;0.9950;28.1902;sigmoid
0.7466;0.0388;0.2652;4;0.0000;0.9950;28.1073;relu
0.5829;0.0394;0.1392;4;0.0001;0.5000;8.7136;sigmoid
0.5347;0.0398;0.0867;4;0.0001;0.5000;8.4466;relu
0.5499;0.0396;0.1107;4;0.0001;0.5500;26.9833;sigmoid
0.5324;0.0398;0.1098;4;0.0001;0.5500;26.3039;relu
0.6667;0.0391;0.2199;4;0.0001;0.7500;27.3019;sigmoid
0.6753;0.0394;0.1241;4;0.0001;0.7500;26.5297;relu
0.7318;0.0390;0.2148;4;0.0001;0.9500;28.4072;sigmoid
0.7404;0.0391;0.1909;4;0.0001;0.9500;28.0586;relu
0.7218;0.0390;0.2500;4;0.0001;0.9950;28.4621;sigmoid
0.7430;0.0389;0.2444;4;0.0001;0.9950;28.7070;relu
0.5389;0.0397;0.0817;4;0.0010;0.5000;8.7443;sigmoid
0.5378;0.0397;0.1129;4;0.0010;0.5000;8.4584;relu
0.5526;0.0395;0.1232;4;0.0010;0.5500;26.3885;sigmoid
0.5438;0.0397;0.1066;4;0.0010;0.5500;26.1085;relu
0.6407;0.0392;0.1631;4;0.0010;0.7500;26.8302;sigmoid
0.6972;0.0393;0.2102;4;0.0010;0.7500;26.1226;relu
0.7348;0.0390;0.2291;4;0.0010;0.9500;28.0892;sigmoid
0.7408;0.0391;0.1934;4;0.0010;0.9500;27.2187;relu
0.7211;0.0389;0.2497;4;0.0010;0.9950;28.6228;sigmoid
0.7399;0.0389;0.2413;4;0.0010;0.9950;28.1148;relu
0.5276;0.0396;0.1110;4;0.0100;0.5000;9.2155;sigmoid
0.5519;0.0397;0.1363;4;0.0100;0.5000;8.5057;relu
0.5274;0.0397;0.1080;4;0.0100;0.5500;26.1137;sigmoid
0.5298;0.0397;0.1147;4;0.0100;0.5500;25.9337;relu
0.6218;0.0393;0.1922;4;0.0100;0.7500;26.3458;sigmoid
0.6316;0.0393;0.1911;4;0.0100;0.7500;26.0184;relu
0.7258;0.0390;0.2614;4;0.0100;0.9500;27.4200;sigmoid
0.7549;0.0389;0.2210;4;0.0100;0.9500;26.1296;relu
0.7120;0.0388;0.2678;4;0.0100;0.9950;27.7450;sigmoid
0.7443;0.0390;0.2394;4;0.0100;0.9950;26.1315;relu
0.4668;0.0397;0.1037;4;0.1000;0.5000;8.5677;sigmoid
0.5166;0.0398;0.0988;4;0.1000;0.5000;8.5061;relu
0.5101;0.0396;0.1102;4;0.1000;0.5500;26.0841;sigmoid
0.6230;0.0394;0.1565;4;0.1000;0.5500;26.2123;relu
0.6408;0.0394;0.1456;4;0.1000;0.7500;26.0667;sigmoid
0.6338;0.0395;0.1024;4;0.1000;0.7500;25.9227;relu
0.7259;0.0390;0.2197;4;0.1000;0.9500;25.9953;sigmoid
0.7509;0.0391;0.2042;4;0.1000;0.9500;26.1165;relu
0.6990;0.0391;0.2094;4;0.1000;0.9950;26.2820;sigmoid
0.7368;0.0392;0.1394;4;0.1000;0.9950;26.2508;relu
0.4597;0.0396;0.0957;4;1.0000;0.5000;8.6817;sigmoid
0.5309;0.0398;0.0508;4;1.0000;0.5000;8.3422;relu
0.5157;0.0394;0.1375;4;1.0000;0.5500;26.1525;sigmoid
0.4696;0.0400;0.0266;4;1.0000;0.5500;26.3669;relu
0.6293;0.0393;0.1517;4;1.0000;0.7500;27.3589;sigmoid
0.6114;0.0395;0.1710;4;1.0000;0.7500;26.4430;relu
0.7243;0.0391;0.2075;4;1.0000;0.9500;26.6507;sigmoid
0.7122;0.0393;0.1791;4;1.0000;0.9500;26.3805;relu
0.7054;0.0393;0.1414;4;1.0000;0.9950;26.1905;sigmoid
0.6924;0.0393;0.1266;4;1.0000;0.9950;26.2146;relu
0.4715;0.0396;0.1244;4;10.0000;0.5000;8.7009;sigmoid
0.4227;0.0392;0.1645;4;10.0000;0.5000;8.4754;relu
0.4605;0.0394;0.1701;4;10.0000;0.5500;26.2929;sigmoid
0.4594;0.0392;0.1731;4;10.0000;0.5500;26.2718;relu
0.5971;0.0393;0.1923;4;10.0000;0.7500;26.2239;sigmoid
0.5708;0.0392;0.1847;4;10.0000;0.7500;26.1793;relu
0.6958;0.0393;0.1178;4;10.0000;0.9500;26.3765;sigmoid
0.7119;0.0394;0.0925;4;10.0000;0.9500;26.3646;relu
0.7238;0.0394;0.1093;4;10.0000;0.9950;26.3939;sigmoid
0.7134;0.0392;0.1920;4;10.0000;0.9950;26.2302;relu
0.6975;0.0391;0.2322;5;0.0000;0.5000;9.0790;sigmoid
0.6622;0.0394;0.1457;5;0.0000;0.5000;8.8379;relu
0.6476;0.0394;0.1477;5;0.0000;0.5500;26.8837;sigmoid
0.6715;0.0394;0.1632;5;0.0000;0.5500;27.0207;relu
0.7390;0.0390;0.2366;5;0.0000;0.7500;26.7179;sigmoid
0.7436;0.0391;0.2519;5;0.0000;0.7500;26.7422;relu
0.7536;0.0390;0.2450;5;0.0000;0.9500;27.3220;sigmoid
0.7745;0.0391;0.1963;5;0.0000;0.9500;26.9135;relu
0.7527;0.0389;0.2538;5;0.0000;0.9950;27.0284;sigmoid
0.7237;0.0391;0.1673;5;0.0000;0.9950;26.8829;relu
0.5988;0.0395;0.1401;5;0.0000;0.5000;9.1258;sigmoid
0.5432;0.0398;0.1009;5;0.0000;0.5000;8.9408;relu
0.6217;0.0395;0.1218;5;0.0000;0.5500;27.5943;sigmoid
0.5622;0.0397;0.0983;5;0.0000;0.5500;27.7838;relu
0.7124;0.0391;0.2337;5;0.0000;0.7500;28.0003;sigmoid
0.6758;0.0393;0.1254;5;0.0000;0.7500;27.8500;relu
0.7590;0.0390;0.2424;5;0.0000;0.9500;28.1323;sigmoid
0.7590;0.0389;0.2183;5;0.0000;0.9500;28.0700;relu
0.7315;0.0389;0.2272;5;0.0000;0.9950;28.2953;sigmoid
0.7217;0.0390;0.2669;5;0.0000;0.9950;28.0232;relu
0.5898;0.0396;0.1173;5;0.0000;0.5000;9.1089;sigmoid
0.5470;0.0398;0.0845;5;0.0000;0.5000;8.8636;relu
0.6013;0.0395;0.1279;5;0.0000;0.5500;28.0719;sigmoid
0.5475;0.0398;0.0958;5;0.0000;0.5500;28.4785;relu
0.6539;0.0393;0.1639;5;0.0000;0.7500;28.4234;sigmoid
0.6681;0.0393;0.1454;5;0.0000;0.7500;27.8371;relu
0.7510;0.0392;0.1774;5;0.0000;0.9500;28.3392;sigmoid
0.7523;0.0390;0.1911;5;0.0000;0.9500;27.9978;relu
0.7149;0.0390;0.1936;5;0.0000;0.9950;28.7398;sigmoid
0.7491;0.0390;0.2427;5;0.0000;0.9950;28.1751;relu
0.6081;0.0394;0.1543;5;0.0000;0.5000;9.1370;sigmoid
0.5599;0.0397;0.1015;5;0.0000;0.5000;8.8925;relu
0.6494;0.0392;0.1814;5;0.0000;0.5500;28.0960;sigmoid
0.5531;0.0398;0.0996;5;0.0000;0.5500;27.7877;relu
0.6707;0.0393;0.1680;5;0.0000;0.7500;28.2824;sigmoid
0.6691;0.0392;0.1433;5;0.0000;0.7500;27.9447;relu
0.7506;0.0389;0.2297;5;0.0000;0.9500;28.8135;sigmoid
0.7542;0.0390;0.1862;5;0.0000;0.9500;28.4010;relu
0.7354;0.0389;0.2384;5;0.0000;0.9950;28.7325;sigmoid
0.7252;0.0388;0.2843;5;0.0000;0.9950;28.8998;relu
0.5855;0.0396;0.1169;5;0.0000;0.5000;9.1850;sigmoid
0.5400;0.0398;0.0947;5;0.0000;0.5000;8.9105;relu
0.5894;0.0395;0.1233;5;0.0000;0.5500;28.2122;sigmoid
0.6091;0.0396;0.1024;5;0.0000;0.5500;27.8981;relu
0.6769;0.0391;0.1844;5;0.0000;0.7500;28.4860;sigmoid
0.6344;0.0395;0.1130;5;0.0000;0.7500;28.2273;relu
0.7248;0.0390;0.2055;5;0.0000;0.9500;28.8157;sigmoid
0.7527;0.0390;0.2083;5;0.0000;0.9500;28.4706;relu
0.7529;0.0389;0.2461;5;0.0000;0.9950;28.8799;sigmoid
0.7332;0.0390;0.2163;5;0.0000;0.9950;28.7286;relu
0.5918;0.0394;0.1672;5;0.0000;0.5000;9.2255;sigmoid
0.6051;0.0395;0.1464;5;0.0000;0.5000;9.0746;relu
0.6022;0.0395;0.1495;5;0.0000;0.5500;28.0057;sigmoid
0.5485;0.0398;0.0998;5;0.0000;0.5500;26.9492;relu
0.6608;0.0391;0.2014;5;0.0000;0.7500;28.6228;sigmoid
0.6377;0.0395;0.1124;5;0.0000;0.7500;27.6456;relu
0.7418;0.0390;0.2405;5;0.0000;0.9500;28.9284;sigmoid
0.7516;0.0390;0.2111;5;0.0000;0.9500;28.7367;relu
0.7458;0.0388;0.2279;5;0.0000;0.9950;28.8508;sigmoid
0.7340;0.0390;0.2335;5;0.0000;0.9950;28.9027;relu
0.5597;0.0396;0.1205;5;0.0001;0.5000;9.2162;sigmoid
0.5341;0.0398;0.1055;5;0.0001;0.5000;8.9495;relu
0.5808;0.0394;0.1421;5;0.0001;0.5500;27.9912;sigmoid
0.5795;0.0396;0.1225;5;0.0001;0.5500;27.1262;relu
0.6415;0.0392;0.1933;5;0.0001;0.7500;28.0374;sigmoid
0.6601;0.0393;0.1529;5;0.0001;0.7500;27.2501;relu
0.7324;0.0389;0.2445;5;0.0001;0.9500;29.1858;sigmoid
0.7574;0.0389;0.2249;5;0.0001;0.9500;28.7398;relu
0.7319;0.0391;0.1857;5;0.0001;0.9950;29.1535;sigmoid
0.7530;0.0389;0.2247;5;0.0001;0.9950;29.1283;relu
0.5450;0.0396;0.1173;5;0.0010;0.5000;9.2853;sigmoid
0.5288;0.0398;0.1102;5;0.0010;0.5000;8.8638;relu
0.5488;0.0396;0.1192;5;0.0010;0.5500;27.0796;sigmoid
0.5717;0.0395;0.1333;5;0.0010;0.5500;26.8635;relu
0.6359;0.0392;0.1616;5;0.0010;0.7500;27.4752;sigmoid
0.6234;0.0395;0.0916;5;0.0010;0.7500;27.1034;relu
0.7293;0.0389;0.2493;5;0.0010;0.9500;28.6619;sigmoid
0.7543;0.0391;0.2175;5;0.0010;0.9500;27.6694;relu
0.7084;0.0391;0.1789;5;0.0010;0.9950;29.3602;sigmoid
0.7444;0.0389;0.2417;5;0.0010;0.9950;28.5693;relu
0.5326;0.0396;0.1158;5;0.0100;0.5000;9.1725;sigmoid
0.5198;0.0397;0.1090;5;0.0100;0.5000;8.9434;relu
0.5473;0.0395;0.1249;5;0.0100;0.5500;26.9705;sigmoid
0.5712;0.0396;0.1447;5;0.0100;0.5500;26.5017;relu
0.6208;0.0393;0.1583;5;0.0100;0.7500;26.8425;sigmoid
0.6903;0.0393;0.1233;5;0.0100;0.7500;26.5183;relu
0.7187;0.0389;0.2464;5;0.0100;0.9500;27.9310;sigmoid
0.7211;0.0391;0.1968;5;0.0100;0.9500;26.9841;relu
0.7001;0.0388;0.2664;5;0.0100;0.9950;29.0193;sigmoid
0.7277;0.0391;0.2258;5;0.0100;0.9950;26.7403;relu
0.5174;0.0395;0.1303;5;0.1000;0.5000;9.0596;sigmoid
0.5210;0.0398;0.1009;5;0.1000;0.5000;8.7976;relu
0.5224;0.0395;0.1399;5;0.1000;0.5500;27.0882;sigmoid
0.5853;0.0396;0.1227;5;0.1000;0.5500;26.8558;relu
0.6168;0.0392;0.1548;5;0.1000;0.7500;27.0570;sigmoid
0.6846;0.0394;0.0908;5;0.1000;0.7500;26.7166;relu
0.7350;0.0389;0.2315;5;0.1000;0.9500;27.1593;sigmoid
0.7474;0.0391;0.1953;5;0.1000;0.9500;26.7375;relu
0.7080;0.0391;0.1811;5;0.1000;0.9950;27.3549;sigmoid
0.7209;0.0393;0.1339;5;0.1000;0.9950;27.1986;relu
0.4594;0.0398;0.0959;5;1.0000;0.5000;9.1373;sigmoid
0.4971;0.0399;0.0287;5;1.0000;0.5000;8.8189;relu
0.4873;0.0395;0.1259;5;1.0000;0.5500;27.1412;sigmoid
0.4617;0.0400;0.0243;5;1.0000;0.5500;26.6268;relu
0.5447;0.0395;0.1267;5;1.0000;0.7500;26.9418;sigmoid
0.6113;0.0396;0.0830;5;1.0000;0.7500;26.6555;relu
0.7217;0.0390;0.2345;5;1.0000;0.9500;26.9723;sigmoid
0.7078;0.0395;0.0842;5;1.0000;0.9500;26.5133;relu
0.7289;0.0391;0.1717;5;1.0000;0.9950;26.9500;sigmoid
0.7295;0.0393;0.1356;5;1.0000;0.9950;26.4015;relu
0.4798;0.0395;0.1832;5;10.0000;0.5000;9.2340;sigmoid
0.4471;0.0390;0.2355;5;10.0000;0.5000;8.8261;relu
0.4468;0.0396;0.1140;5;10.0000;0.5500;26.9175;sigmoid
0.4448;0.0391;0.2275;5;10.0000;0.5500;26.5633;relu
0.6079;0.0393;0.1926;5;10.0000;0.7500;26.8523;sigmoid
0.5686;0.0392;0.1686;5;10.0000;0.7500;26.8912;relu
0.7212;0.0392;0.1541;5;10.0000;0.9500;26.8073;sigmoid
0.7272;0.0392;0.0942;5;10.0000;0.9500;26.7784;relu
0.7180;0.0392;0.1549;5;10.0000;0.9950;26.8567;sigmoid
0.7266;0.0392;0.1322;5;10.0000;0.9950;26.6856;relu
0.6594;0.0395;0.1319;6;0.0000;0.5000;9.2727;sigmoid
0.6539;0.0395;0.1530;6;0.0000;0.5000;9.0116;relu
0.6632;0.0394;0.1399;6;0.0000;0.5500;27.0918;sigmoid
0.6851;0.0393;0.1959;6;0.0000;0.5500;26.9433;relu
0.7060;0.0392;0.2012;6;0.0000;0.7500;26.8524;sigmoid
0.7458;0.0391;0.2429;6;0.0000;0.7500;27.1676;relu
0.7707;0.0389;0.2281;6;0.0000;0.9500;27.2350;sigmoid
0.7664;0.0390;0.2348;6;0.0000;0.9500;27.0960;relu
0.7450;0.0389;0.2498;6;0.0000;0.9950;26.9256;sigmoid
0.7297;0.0388;0.3052;6;0.0000;0.9950;27.0949;relu
0.6453;0.0392;0.1952;6;0.0000;0.5000;9.3515;sigmoid
0.5515;0.0398;0.1005;6;0.0000;0.5000;9.0056;relu
0.6445;0.0393;0.1849;6;0.0000;0.5500;27.9219;sigmoid
0.6077;0.0395;0.1576;6;0.0000;0.5500;27.3894;relu
0.6985;0.0392;0.1909;6;0.0000;0.7500;28.0069;sigmoid
0.6805;0.0393;0.1348;6;0.0000;0.7500;27.8810;relu
0.7608;0.0390;0.2212;6;0.0000;0.9500;28.1138;sigmoid
0.7565;0.0390;0.2377;6;0.0000;0.9500;27.8335;relu
