MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.5408;0.0397;0.0996;2;0.0001;0.5000;complete;7.1678;sigmoid
0.5282;0.0398;0.0849;2;0.0001;0.5000;average;7.1877;sigmoid
0.5360;0.0398;0.0862;2;0.0001;0.5000;single;7.1938;sigmoid
0.5502;0.0398;0.0708;2;0.0001;0.5000;complete;7.0877;relu
0.5465;0.0400;0.0411;2;0.0001;0.5000;average;7.0928;relu
0.5841;0.0398;0.1060;2;0.0001;0.5000;single;7.0619;relu
0.5718;0.0396;0.1093;2;0.0001;0.5500;complete;24.8416;sigmoid
0.5457;0.0398;0.0894;2;0.0001;0.5500;average;25.1840;sigmoid
0.5315;0.0398;0.0746;2;0.0001;0.5500;single;24.4315;sigmoid
0.5848;0.0397;0.0686;2;0.0001;0.5500;complete;24.3547;relu
0.5626;0.0400;0.0510;2;0.0001;0.5500;average;24.3617;relu
0.5523;0.0399;0.0368;2;0.0001;0.5500;single;24.0791;relu
0.6527;0.0395;0.1105;2;0.0001;0.7500;complete;25.5218;sigmoid
0.6343;0.0397;0.0979;2;0.0001;0.7500;average;25.4204;sigmoid
0.6294;0.0396;0.0960;2;0.0001;0.7500;single;25.4097;sigmoid
0.6723;0.0396;0.0765;2;0.0001;0.7500;complete;25.0977;relu
0.6914;0.0396;0.0838;2;0.0001;0.7500;average;24.9146;relu
0.6614;0.0396;0.0988;2;0.0001;0.7500;single;24.5564;relu
0.7307;0.0392;0.1230;2;0.0001;0.9500;complete;26.1899;sigmoid
0.7130;0.0395;0.1009;2;0.0001;0.9500;average;25.9150;sigmoid
0.7144;0.0395;0.1009;2;0.0001;0.9500;single;25.6809;sigmoid
0.7643;0.0392;0.1189;2;0.0001;0.9500;complete;25.8975;relu
0.7407;0.0394;0.0850;2;0.0001;0.9500;average;25.7941;relu
0.7399;0.0394;0.0982;2;0.0001;0.9500;single;25.7713;relu
0.7115;0.0392;0.1154;2;0.0001;0.9950;complete;26.2621;sigmoid
0.7242;0.0394;0.0902;2;0.0001;0.9950;average;26.2690;sigmoid
0.7311;0.0394;0.1018;2;0.0001;0.9950;single;25.8498;sigmoid
0.7157;0.0392;0.1144;2;0.0001;0.9950;complete;26.3157;relu
0.7250;0.0394;0.0894;2;0.0001;0.9950;average;26.1939;relu
0.7317;0.0394;0.1000;2;0.0001;0.9950;single;26.0465;relu
0.5337;0.0397;0.0930;2;0.0010;0.5000;complete;7.1981;sigmoid
0.5216;0.0398;0.0869;2;0.0010;0.5000;average;7.2528;sigmoid
0.5134;0.0398;0.0845;2;0.0010;0.5000;single;7.2407;sigmoid
