MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
-0.0114;0.2730;0.0050;2;1.0000;0.5000;complete;0.4124;sigmoid
0.0453;0.3570;0.0286;2;1.0000;0.5000;average;0.3408;sigmoid
0.1200;0.3755;0.1407;2;1.0000;0.5000;single;0.3559;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.5000;complete;0.2956;relu
0.0144;0.3063;0.0049;2;1.0000;0.5000;average;0.2947;relu
-0.0050;0.3109;0.0068;2;1.0000;0.5000;single;0.3048;relu
-0.0280;0.2736;0.0019;2;1.0000;0.5500;complete;3.6590;sigmoid
0.0393;0.3088;0.0200;2;1.0000;0.5500;average;2.9797;sigmoid
0.0310;0.3097;0.0262;2;1.0000;0.5500;single;3.6814;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.5500;complete;2.8603;relu
0.0099;0.3033;0.0023;2;1.0000;0.5500;average;3.6556;relu
-0.0069;0.3083;0.0073;2;1.0000;0.5500;single;2.8709;relu
-0.0070;0.2787;0.0050;2;1.0000;0.7500;complete;3.7809;sigmoid
0.0392;0.3086;0.0189;2;1.0000;0.7500;average;3.0299;sigmoid
0.2088;0.3463;0.0716;2;1.0000;0.7500;single;3.9173;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.7500;complete;2.8736;relu
0.0099;0.3033;0.0023;2;1.0000;0.7500;average;3.6345;relu
0.0165;0.3091;0.0182;2;1.0000;0.7500;single;2.8878;relu
0.0015;0.2843;0.0024;2;1.0000;0.9500;complete;3.7637;sigmoid
0.1297;0.3580;0.0673;2;1.0000;0.9500;average;2.9444;sigmoid
0.3278;0.3495;0.1195;2;1.0000;0.9500;single;3.7405;sigmoid
-0.0352;0.2694;-0.0005;2;1.0000;0.9500;complete;2.9182;relu
-0.0311;0.2966;-0.0004;2;1.0000;0.9500;average;3.6677;relu
-0.0092;0.3062;0.0046;2;1.0000;0.9500;single;2.8919;relu
0.0135;0.3007;0.0021;2;1.0000;0.9950;complete;3.6569;sigmoid
0.0722;0.3101;0.0204;2;1.0000;0.9950;average;3.0036;sigmoid
0.0335;0.3314;0.0007;2;1.0000;0.9950;single;3.6890;sigmoid
0.0144;0.3024;0.0027;2;1.0000;0.9950;complete;2.8729;relu
-0.0201;0.2942;0.0012;2;1.0000;0.9950;average;3.6746;relu
-0.0060;0.3092;0.0011;2;1.0000;0.9950;single;2.9219;relu
-0.0293;0.2714;0.0038;2;10.0000;0.5000;complete;0.3557;sigmoid
0.0482;0.3532;0.0229;2;10.0000;0.5000;average;0.3469;sigmoid
0.0310;0.3097;0.0262;2;10.0000;0.5000;single;0.3657;sigmoid
-0.0352;0.2694;-0.0005;2;10.0000;0.5000;complete;0.2939;relu
0.0099;0.3033;0.0023;2;10.0000;0.5000;average;0.3015;relu
0.0218;0.3087;0.0228;2;10.0000;0.5000;single;0.3007;relu
-0.0355;0.2629;-0.0000;2;10.0000;0.5500;complete;3.6061;sigmoid
0.0396;0.3092;0.0208;2;10.0000;0.5500;average;3.0559;sigmoid
0.0310;0.3097;0.0262;2;10.0000;0.5500;single;3.6904;sigmoid
-0.0359;0.2636;-0.0000;2;10.0000;0.5500;complete;2.8488;relu
0.0099;0.3033;0.0023;2;10.0000;0.5500;average;3.6104;relu
-0.0050;0.3109;0.0068;2;10.0000;0.5500;single;2.9396;relu
-0.0358;0.2654;-0.0003;2;10.0000;0.7500;complete;3.7276;sigmoid
0.0396;0.3100;0.0208;2;10.0000;0.7500;average;3.0125;sigmoid
0.0310;0.3097;0.0262;2;10.0000;0.7500;single;3.7425;sigmoid
