MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7269;0.0549;0.1781;2;0.0100;0.9500;single;14.1147;relu
0.6698;0.0552;0.1572;2;0.0100;0.9950;complete;14.4987;sigmoid
0.6604;0.0550;0.2080;2;0.0100;0.9950;average;14.4579;sigmoid
0.6799;0.0552;0.1231;2;0.0100;0.9950;single;14.2473;sigmoid
0.6803;0.0552;0.1547;2;0.0100;0.9950;complete;14.2100;relu
0.6737;0.0551;0.1735;2;0.0100;0.9950;average;14.2773;relu
0.6577;0.0552;0.1172;2;0.0100;0.9950;single;14.0556;relu
0.6474;0.0553;0.2201;2;0.1000;0.5000;complete;2.9947;sigmoid
0.5929;0.0556;0.2492;2;0.1000;0.5000;average;3.0024;sigmoid
0.6262;0.0554;0.2052;2;0.1000;0.5000;single;3.7328;sigmoid
0.5317;0.0556;0.1042;2;0.1000;0.5000;complete;2.9195;relu
0.5545;0.0555;0.1500;2;0.1000;0.5000;average;2.9265;relu
0.6178;0.0553;0.1685;2;0.1000;0.5000;single;2.9104;relu
0.6411;0.0552;0.2360;2;0.1000;0.5500;complete;14.0985;sigmoid
0.6158;0.0553;0.2607;2;0.1000;0.5500;average;14.2284;sigmoid
0.6220;0.0553;0.2832;2;0.1000;0.5500;single;14.0088;sigmoid
0.5844;0.0554;0.1179;2;0.1000;0.5500;complete;13.9863;relu
0.6122;0.0554;0.2061;2;0.1000;0.5500;average;14.1109;relu
0.6544;0.0551;0.2439;2;0.1000;0.5500;single;13.9383;relu
0.6793;0.0551;0.2256;2;0.1000;0.7500;complete;14.1356;sigmoid
0.6800;0.0550;0.2249;2;0.1000;0.7500;average;14.2554;sigmoid
0.6935;0.0550;0.2387;2;0.1000;0.7500;single;14.1886;sigmoid
0.6907;0.0549;0.2248;2;0.1000;0.7500;complete;14.0267;relu
0.6960;0.0549;0.2441;2;0.1000;0.7500;average;14.0460;relu
0.6968;0.0550;0.2254;2;0.1000;0.7500;single;13.8915;relu
0.7217;0.0549;0.1845;2;0.1000;0.9500;complete;14.1748;sigmoid
0.7209;0.0547;0.2722;2;0.1000;0.9500;average;14.3314;sigmoid
0.7181;0.0549;0.1912;2;0.1000;0.9500;single;14.1477;sigmoid
0.7153;0.0551;0.1979;2;0.1000;0.9500;complete;14.1216;relu
0.7208;0.0548;0.2512;2;0.1000;0.9500;average;14.1713;relu
0.7324;0.0549;0.1606;2;0.1000;0.9500;single;13.9786;relu
0.6715;0.0554;0.1200;2;0.1000;0.9950;complete;14.1447;sigmoid
0.6706;0.0553;0.1457;2;0.1000;0.9950;average;14.3406;sigmoid
0.6657;0.0553;0.1055;2;0.1000;0.9950;single;14.2113;sigmoid
0.6425;0.0554;0.1128;2;0.1000;0.9950;complete;14.0538;relu
0.6437;0.0554;0.1713;2;0.1000;0.9950;average;14.2204;relu
0.6627;0.0553;0.1174;2;0.1000;0.9950;single;14.0224;relu
0.5592;0.0555;0.2021;2;1.0000;0.5000;complete;3.0704;sigmoid
0.4972;0.0556;0.1766;2;1.0000;0.5000;average;3.0162;sigmoid
0.5656;0.0554;0.2542;2;1.0000;0.5000;single;2.9887;sigmoid
0.4817;0.0558;0.0587;2;1.0000;0.5000;complete;2.9440;relu
0.5042;0.0557;0.1073;2;1.0000;0.5000;average;2.9294;relu
0.4880;0.0558;0.0716;2;1.0000;0.5000;single;2.9263;relu
0.5398;0.0555;0.2267;2;1.0000;0.5500;complete;14.2503;sigmoid
0.5714;0.0553;0.2511;2;1.0000;0.5500;average;14.6301;sigmoid
0.4903;0.0557;0.1575;2;1.0000;0.5500;single;14.3657;sigmoid
0.5847;0.0552;0.1646;2;1.0000;0.5500;complete;14.1362;relu
0.5681;0.0555;0.1218;2;1.0000;0.5500;average;14.0516;relu
0.5516;0.0555;0.1122;2;1.0000;0.5500;single;14.1944;relu
0.6476;0.0552;0.2249;2;1.0000;0.7500;complete;14.1870;sigmoid
0.6549;0.0550;0.2652;2;1.0000;0.7500;average;14.1244;sigmoid
0.6503;0.0550;0.2336;2;1.0000;0.7500;single;14.2698;sigmoid
0.5801;0.0556;0.0987;2;1.0000;0.7500;complete;14.0147;relu
0.5925;0.0555;0.1141;2;1.0000;0.7500;average;14.0891;relu
0.5857;0.0555;0.1206;2;1.0000;0.7500;single;14.2028;relu
0.7098;0.0551;0.1718;2;1.0000;0.9500;complete;14.3488;sigmoid
0.6986;0.0552;0.1658;2;1.0000;0.9500;average;14.4895;sigmoid
0.7041;0.0551;0.1731;2;1.0000;0.9500;single;14.2599;sigmoid
0.7168;0.0549;0.1894;2;1.0000;0.9500;complete;14.0042;relu
0.7128;0.0549;0.2405;2;1.0000;0.9500;average;14.0955;relu
0.7107;0.0550;0.1748;2;1.0000;0.9500;single;14.2182;relu
0.6477;0.0553;0.1313;2;1.0000;0.9950;complete;14.1617;sigmoid
0.6567;0.0553;0.1567;2;1.0000;0.9950;average;14.1602;sigmoid
0.6379;0.0556;0.0900;2;1.0000;0.9950;single;14.2558;sigmoid
0.6431;0.0554;0.1204;2;1.0000;0.9950;complete;14.1007;relu
0.6457;0.0555;0.1173;2;1.0000;0.9950;average;14.0634;relu
0.6538;0.0555;0.1276;2;1.0000;0.9950;single;14.2568;relu
0.4330;0.0557;0.1448;2;10.0000;0.5000;complete;3.1236;sigmoid
0.4846;0.0555;0.1619;2;10.0000;0.5000;average;3.1719;sigmoid
0.4751;0.0556;0.1712;2;10.0000;0.5000;single;3.0777;sigmoid
0.3778;0.0557;0.1216;2;10.0000;0.5000;complete;2.9367;relu
0.2981;0.0559;0.1018;2;10.0000;0.5000;average;2.9317;relu
0.1333;0.0565;0.0275;2;10.0000;0.5000;single;2.9774;relu
0.4480;0.0556;0.1467;2;10.0000;0.5500;complete;14.3336;sigmoid
0.4637;0.0556;0.1090;2;10.0000;0.5500;average;14.3899;sigmoid
0.5177;0.0554;0.1846;2;10.0000;0.5500;single;14.1695;sigmoid
0.2699;0.0563;0.0960;2;10.0000;0.5500;complete;14.2058;relu
0.2377;0.0562;0.0971;2;10.0000;0.5500;average;14.0621;relu
0.0467;0.0569;0.0115;2;10.0000;0.5500;single;14.0462;relu
0.5831;0.0552;0.2129;2;10.0000;0.7500;complete;14.5579;sigmoid
0.5641;0.0554;0.1615;2;10.0000;0.7500;average;14.4301;sigmoid
0.5948;0.0552;0.2333;2;10.0000;0.7500;single;14.1993;sigmoid
0.3764;0.0562;0.0593;2;10.0000;0.7500;complete;14.3130;relu
0.4661;0.0558;0.1515;2;10.0000;0.7500;average;14.1173;relu
0.4911;0.0559;0.1107;2;10.0000;0.7500;single;14.0663;relu
0.6562;0.0553;0.2016;2;10.0000;0.9500;complete;14.4831;sigmoid
0.6719;0.0553;0.1581;2;10.0000;0.9500;average;14.4608;sigmoid
0.6601;0.0553;0.1349;2;10.0000;0.9500;single;14.3363;sigmoid
0.6021;0.0557;0.1117;2;10.0000;0.9500;complete;14.2312;relu
0.6027;0.0556;0.1403;2;10.0000;0.9500;average;14.3781;relu
0.5914;0.0560;0.0999;2;10.0000;0.9500;single;14.0982;relu
0.6086;0.0558;0.0671;2;10.0000;0.9950;complete;14.3639;sigmoid
