MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.7009;0.0548;0.2643;4;0.0010;0.7500;15.8655;sigmoid
0.7057;0.0547;0.3000;4;0.0010;0.7500;15.2201;relu
0.7394;0.0546;0.3481;4;0.0010;0.9500;16.8655;sigmoid
0.7368;0.0545;0.3294;4;0.0010;0.9500;15.5116;relu
0.6963;0.0548;0.1999;4;0.0010;0.9950;16.5576;sigmoid
0.6996;0.0549;0.2214;4;0.0010;0.9950;15.8712;relu
0.5964;0.0554;0.2852;4;0.0100;0.5000;3.6691;sigmoid
0.6626;0.0551;0.2589;4;0.0100;0.5000;3.3535;relu
0.6603;0.0550;0.2566;4;0.0100;0.5500;15.6272;sigmoid
0.6320;0.0551;0.2294;4;0.0100;0.5500;15.2434;relu
0.6944;0.0548;0.2669;4;0.0100;0.7500;15.4457;sigmoid
0.7081;0.0548;0.2803;4;0.0100;0.7500;15.3109;relu
0.7384;0.0546;0.2940;4;0.0100;0.9500;15.7568;sigmoid
0.7250;0.0548;0.2750;4;0.0100;0.9500;15.2911;relu
0.6827;0.0548;0.2652;4;0.0100;0.9950;15.5772;sigmoid
0.7145;0.0545;0.2952;4;0.0100;0.9950;15.2347;relu
0.6159;0.0552;0.2316;4;0.1000;0.5000;3.6059;sigmoid
0.6105;0.0554;0.1571;4;0.1000;0.5000;3.3517;relu
0.6101;0.0552;0.2137;4;0.1000;0.5500;15.2592;sigmoid
0.6181;0.0551;0.2503;4;0.1000;0.5500;15.3343;relu
0.6716;0.0549;0.2513;4;0.1000;0.7500;15.4162;sigmoid
0.6967;0.0547;0.3087;4;0.1000;0.7500;15.1896;relu
0.7253;0.0546;0.3107;4;0.1000;0.9500;15.4474;sigmoid
0.7222;0.0548;0.2853;4;0.1000;0.9500;15.2034;relu
0.6964;0.0547;0.2564;4;0.1000;0.9950;15.5505;sigmoid
0.6983;0.0548;0.2307;4;0.1000;0.9950;15.2136;relu
0.5646;0.0552;0.2095;4;1.0000;0.5000;3.5815;sigmoid
0.5181;0.0556;0.0837;4;1.0000;0.5000;3.3591;relu
0.5100;0.0553;0.2349;4;1.0000;0.5500;15.3196;sigmoid
0.5284;0.0551;0.1214;4;1.0000;0.5500;15.0841;relu
0.6724;0.0549;0.2702;4;1.0000;0.7500;15.2961;sigmoid
0.6264;0.0551;0.1487;4;1.0000;0.7500;14.9739;relu
0.7303;0.0545;0.3088;4;1.0000;0.9500;15.2946;sigmoid
0.7242;0.0547;0.2908;4;1.0000;0.9500;15.1497;relu
0.7202;0.0545;0.3081;4;1.0000;0.9950;15.2187;sigmoid
0.6852;0.0549;0.2450;4;1.0000;0.9950;15.0503;relu
0.4295;0.0553;0.2145;4;10.0000;0.5000;3.6024;sigmoid
0.3689;0.0550;0.1467;4;10.0000;0.5000;3.4357;relu
0.3981;0.0551;0.1458;4;10.0000;0.5500;15.3310;sigmoid
0.2700;0.0549;0.1406;4;10.0000;0.5500;15.4172;relu
0.5580;0.0550;0.2237;4;10.0000;0.7500;15.3385;sigmoid
0.4024;0.0551;0.1546;4;10.0000;0.7500;15.1100;relu
0.6936;0.0549;0.2174;4;10.0000;0.9500;15.5696;sigmoid
0.6511;0.0547;0.3093;4;10.0000;0.9500;15.2126;relu
0.6471;0.0552;0.1622;4;10.0000;0.9950;15.4793;sigmoid
0.6745;0.0548;0.2299;4;10.0000;0.9950;16.0305;relu
0.6466;0.0550;0.2434;5;0.0000;0.5000;3.7847;sigmoid
0.6435;0.0553;0.2148;5;0.0000;0.5000;3.5512;relu
0.6674;0.0550;0.2478;5;0.0000;0.5500;15.8793;sigmoid
0.6750;0.0550;0.2353;5;0.0000;0.5500;15.5835;relu
0.7089;0.0548;0.2985;5;0.0000;0.7500;15.9015;sigmoid
0.7036;0.0548;0.2517;5;0.0000;0.7500;15.8100;relu
0.7290;0.0546;0.3207;5;0.0000;0.9500;15.9841;sigmoid
0.7292;0.0548;0.2423;5;0.0000;0.9500;15.7448;relu
0.6816;0.0548;0.2933;5;0.0000;0.9950;15.8805;sigmoid
0.6685;0.0547;0.2753;5;0.0000;0.9950;15.6090;relu
0.6473;0.0552;0.2045;5;0.0000;0.5000;3.8401;sigmoid
0.6279;0.0553;0.1842;5;0.0000;0.5000;3.7066;relu
0.6790;0.0549;0.2871;5;0.0000;0.5500;16.5498;sigmoid
0.6682;0.0551;0.2193;5;0.0000;0.5500;16.2183;relu
0.6873;0.0548;0.2739;5;0.0000;0.7500;16.5528;sigmoid
0.7040;0.0549;0.2629;5;0.0000;0.7500;16.4509;relu
0.7471;0.0544;0.3472;5;0.0000;0.9500;16.2920;sigmoid
0.7360;0.0544;0.3355;5;0.0000;0.9500;16.3747;relu
0.6968;0.0546;0.2578;5;0.0000;0.9950;16.1889;sigmoid
0.7004;0.0548;0.2034;5;0.0000;0.9950;16.0329;relu
0.5930;0.0554;0.1783;5;0.0000;0.5000;3.8466;sigmoid
0.6390;0.0553;0.1970;5;0.0000;0.5000;3.6946;relu
0.6732;0.0549;0.2764;5;0.0000;0.5500;16.8141;sigmoid
0.6488;0.0552;0.1762;5;0.0000;0.5500;16.8066;relu
0.7155;0.0547;0.3303;5;0.0000;0.7500;16.7412;sigmoid
0.6788;0.0552;0.1682;5;0.0000;0.7500;16.7668;relu
0.7356;0.0545;0.3113;5;0.0000;0.9500;16.8220;sigmoid
0.7334;0.0547;0.3207;5;0.0000;0.9500;16.6136;relu
0.6561;0.0549;0.2362;5;0.0000;0.9950;16.3409;sigmoid
0.6664;0.0551;0.1848;5;0.0000;0.9950;16.5447;relu
0.6349;0.0553;0.2067;5;0.0000;0.5000;3.9274;sigmoid
0.6610;0.0550;0.2206;5;0.0000;0.5000;3.8046;relu
0.6594;0.0550;0.2400;5;0.0000;0.5500;17.1639;sigmoid
0.6587;0.0550;0.1970;5;0.0000;0.5500;17.0584;relu
0.6966;0.0549;0.2552;5;0.0000;0.7500;16.7755;sigmoid
0.6992;0.0548;0.2650;5;0.0000;0.7500;16.7095;relu
0.7329;0.0546;0.3237;5;0.0000;0.9500;16.9838;sigmoid
0.7167;0.0549;0.2176;5;0.0000;0.9500;16.8139;relu
0.6957;0.0547;0.2426;5;0.0000;0.9950;16.3941;sigmoid
0.6651;0.0548;0.2345;5;0.0000;0.9950;16.1926;relu
0.6442;0.0551;0.2012;5;0.0000;0.5000;3.8359;sigmoid
0.6140;0.0554;0.2664;5;0.0000;0.5000;3.6401;relu
0.6760;0.0548;0.2770;5;0.0000;0.5500;17.1390;sigmoid
0.6630;0.0549;0.2226;5;0.0000;0.5500;17.1964;relu
