MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.6453;0.1550;0.4271;5;1.0000;0.9500;1.8341;relu
0.4976;0.1566;0.1352;5;1.0000;0.9950;1.8932;sigmoid
0.4834;0.1566;0.1865;5;1.0000;0.9950;1.8232;relu
0.7312;0.1526;0.9449;5;10.0000;0.5000;0.9966;sigmoid
0.5330;0.1544;0.4615;5;10.0000;0.5000;0.8575;relu
0.6982;0.1540;0.7727;5;10.0000;0.5500;1.9257;sigmoid
0.4006;0.1530;0.3053;5;10.0000;0.5500;1.8332;relu
0.7343;0.1525;0.9652;5;10.0000;0.7500;2.0187;sigmoid
0.4320;0.1529;0.3364;5;10.0000;0.7500;1.8535;relu
0.6044;0.1548;0.4095;5;10.0000;0.9500;1.9373;sigmoid
0.5888;0.1561;0.4356;5;10.0000;0.9500;1.9351;relu
0.4353;0.1565;0.1592;5;10.0000;0.9950;1.9113;sigmoid
0.3852;0.1567;0.1669;5;10.0000;0.9950;1.8393;relu
0.7387;0.1528;0.9276;6;0.0000;0.5000;0.9907;sigmoid
0.7386;0.1527;0.9339;6;0.0000;0.5000;0.8876;relu
0.7376;0.1527;0.9395;6;0.0000;0.5500;1.9020;sigmoid
0.7384;0.1526;0.9479;6;0.0000;0.5500;1.9056;relu
0.7160;0.1533;0.8250;6;0.0000;0.7500;1.9805;sigmoid
0.7378;0.1527;0.9527;6;0.0000;0.7500;1.8550;relu
0.6528;0.1540;0.4757;6;0.0000;0.9500;1.9125;sigmoid
0.6512;0.1542;0.4576;6;0.0000;0.9500;1.9155;relu
0.4905;0.1561;0.1978;6;0.0000;0.9950;1.9248;sigmoid
0.4958;0.1557;0.2073;6;0.0000;0.9950;1.8180;relu
0.6623;0.1536;0.6832;6;0.0000;0.5000;0.9675;sigmoid
0.7363;0.1528;0.9340;6;0.0000;0.5000;0.8929;relu
0.6694;0.1536;0.6990;6;0.0000;0.5500;2.1493;sigmoid
0.6612;0.1540;0.6591;6;0.0000;0.5500;1.9337;relu
0.7364;0.1526;0.9413;6;0.0000;0.7500;2.0704;sigmoid
0.7408;0.1529;0.9170;6;0.0000;0.7500;1.9801;relu
0.6620;0.1540;0.5102;6;0.0000;0.9500;2.0858;sigmoid
0.6455;0.1543;0.4369;6;0.0000;0.9500;1.9868;relu
