MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7316;0.1527;0.9415;2;0.0001;0.5000;average;0.6680;sigmoid
0.7308;0.1528;0.9260;2;0.0001;0.5000;single;0.6631;sigmoid
0.6703;0.1539;0.6664;2;0.0001;0.5000;complete;0.7325;relu
0.7410;0.1529;0.9105;2;0.0001;0.5000;average;0.6218;relu
0.7410;0.1530;0.9020;2;0.0001;0.5000;single;0.6273;relu
0.6355;0.1545;0.6184;2;0.0001;0.5500;complete;1.6014;sigmoid
0.7317;0.1527;0.9452;2;0.0001;0.5500;average;1.5983;sigmoid
0.7317;0.1527;0.9452;2;0.0001;0.5500;single;1.5684;sigmoid
0.6450;0.1545;0.6363;2;0.0001;0.5500;complete;1.5549;relu
0.7409;0.1530;0.9041;2;0.0001;0.5500;average;1.5917;relu
0.7410;0.1530;0.9020;2;0.0001;0.5500;single;1.5405;relu
0.7215;0.1529;0.9031;2;0.0001;0.7500;complete;1.5998;sigmoid
0.7342;0.1527;0.9370;2;0.0001;0.7500;average;1.6840;sigmoid
0.7325;0.1527;0.9483;2;0.0001;0.7500;single;1.5692;sigmoid
0.7297;0.1531;0.8773;2;0.0001;0.7500;complete;1.5667;relu
0.7410;0.1530;0.9020;2;0.0001;0.7500;average;1.5549;relu
0.7410;0.1530;0.9020;2;0.0001;0.7500;single;1.5538;relu
0.5828;0.1567;0.2841;2;0.0001;0.9500;complete;1.6996;sigmoid
0.6462;0.1561;0.4331;2;0.0001;0.9500;average;1.7926;sigmoid
0.6045;0.1558;0.4009;2;0.0001;0.9500;single;1.6768;sigmoid
0.5830;0.1566;0.2823;2;0.0001;0.9500;complete;1.6516;relu
0.6474;0.1561;0.4353;2;0.0001;0.9500;average;1.7492;relu
0.6065;0.1560;0.3872;2;0.0001;0.9500;single;1.9832;relu
0.4921;0.1568;0.0882;2;0.0001;0.9950;complete;1.6447;sigmoid
0.4759;0.1569;0.1325;2;0.0001;0.9950;average;1.6836;sigmoid
0.4785;0.1562;0.1538;2;0.0001;0.9950;single;1.5991;sigmoid
0.4876;0.1568;0.0860;2;0.0001;0.9950;complete;1.5796;relu
0.4819;0.1568;0.1251;2;0.0001;0.9950;average;1.5634;relu
